PeerConnectionID,BytesSentStartTime,BytesSentEndTime,BytesSentValues,BytesReceivedStartTime,BytesReceivedEndTime,BytesReceivedValues
340-6,2024-05-25T10:34:49.402Z,2024-05-25T10:39:42.397Z,"[11616904, 11841719, 12071195, 12288611, 12519194, 12750182, 12974094, 13203700, 13430094, 13658165, 13885716, 14111795, 14344119, 14563494, 14799348, 15024662, 15242656, 15475370, 15700859, 15928460, 16160480, 16385872, 16610750, 16838975, 17065354, 17298771, 17525018, 17744087, 17969341, 18201340, 18430554, 19467409, 19568495, 20384875, 20477252, 20702585, 21759936, 21833838, 22065550, 23140546, 23201329, 23426173, 23661582, 23879408, 24114846, 24339460, 25381741, 25481577, 25709635, 26754625, 26845868, 27893931, 27985911, 28214649, 29270550, 29360984, 30508363, 30729652, 30953282, 31175986, 31406729, 31628706, 31856084, 32089608, 32314404, 32546490, 32768520, 32997049, 33230015, 33456439, 33677635, 33915105, 34139087, 34363483, 34598785, 34819919, 35048621, 35276562, 35502711, 35729964, 35967838, 36195047, 36421330, 36649287, 36876530, 37104391, 37331145, 37556167, 37791286, 38018586, 38235756, 38461534, 38689336, 38920043, 39152554, 39370903, 39605566, 39832425, 40059475, 40284873, 40512004, 40740335, 40965320, 41198841, 41426437, 41644046, 41870159, 42105564, 42334277, 42562580, 42784906, 43012081, 43238199, 43466308, 43694278, 43927242, 44147825, 44375873, 44601026, 44834732, 45061454, 45292498, 45516491, 45738668, 45961697, 46184275, 46414580, 46641872, 46871389, 47096496, 47320939, 47557425, 47780035, 48009529, 48236926, 48465962, 48691788, 48919213, 49147943, 49374236, 49607060, 49829666, 50057746, 50291621, 50516029, 50731087, 50967276, 51194860, 51420262, 51648590, 51877954, 52102204, 52333666, 52555352, 52786222, 53012289, 53242780, 53468266, 53687495, 53915327, 54150230, 54376662, 54602807, 54831420, 55059254, 55281268, 55507704, 55736148, 55968914, 56196385, 56425645, 56656272, 56879278, 57105686, 57332862, 57557853, 57781988, 58010135, 58239472, 58465058, 58691519, 58919203, 59154911, 59376148, 59609562, 59837719, 60060997, 60285602, 60512405, 60738200, 60968873, 61196953, 61432767, 61655600, 61875355, 62100051, 62327915, 62560378, 62787493, 63012357, 63240287, 63466531, 63697141, 63925430, 64154326, 64378933, 64603875, 64836884, 65062451, 65280826, 65515871, 65743176, 65973715, 66200554, 66424271, 66650136, 66880628, 67104963, 67332487, 67558087, 67792450, 68023782, 68243185, 68469318, 68694427, 68920900, 69149703, 69379334, 69603776, 69831439, 70061009, 70289391, 70522748, 70749930, 70979006, 71199147, 71434316, 71662545, 71881710, 72115683, 72344088, 72570032, 72798057, 73026204, 73253418, 73478263, 73705378, 73938014, 74157970, 74388578, 74622206, 74847888, 75076553, 75303103, 75530649, 75758196, 75986859, 76214715, 76438703, 76673433, 76899195, 77129467, 77353042, 77578006, 77803444, 78033242, 78261657]",2024-05-25T10:34:49.402Z,2024-05-25T10:39:42.397Z,"[11584144, 11808660, 12037167, 12257063, 12488044, 12713184, 12942139, 13169587, 13394743, 13623344, 13852064, 14079363, 14304573, 14531528, 14768162, 14993138, 15211744, 15442468, 15667789, 15894862, 16126551, 16351756, 16579153, 16808685, 17034091, 17266963, 17492143, 17719850, 17937555, 18169902, 18398623, 19435580, 19536349, 20352735, 20445404, 20671630, 21732717, 21806828, 22040279, 23115892, 23177288, 23400332, 23636780, 23855031, 24090519, 24315514, 25357172, 25456206, 25683950, 26727562, 26818729, 27865177, 27956493, 28184856, 29238086, 29328848, 30476254, 30697700, 30921940, 31143962, 31375084, 31596260, 31823870, 32056932, 32283824, 32516170, 32739420, 32967398, 33199901, 33426331, 33646799, 33885232, 34107174, 34332801, 34559414, 34787451, 35015650, 35244599, 35469638, 35697284, 35935336, 36163202, 36389634, 36618335, 36845062, 37073974, 37300609, 37525314, 37753006, 37987288, 38206536, 38431056, 38657670, 38887633, 39121440, 39341007, 39576015, 39803924, 40031517, 40256774, 40484038, 40712274, 40934885, 41168624, 41396167, 41615188, 41840990, 42075844, 42304841, 42533712, 42755423, 42983816, 43209467, 43437361, 43665099, 43898169, 44118442, 44346746, 44571382, 44805061, 45032077, 45263834, 45488029, 45709722, 45931777, 46154715, 46383095, 46611742, 46840749, 47065543, 47290882, 47526806, 47749195, 47979378, 48206691, 48434543, 48662067, 48888508, 49118162, 49344730, 49576631, 49798570, 50027261, 50261933, 50486976, 50702098, 50939204, 51166569, 51391971, 51619998, 51849535, 52074673, 52304969, 52527985, 52759006, 52983435, 53213741, 53439139, 53657530, 53894364, 54122242, 54348446, 54573989, 54801151, 55028721, 55251280, 55477235, 55708204, 55940938, 56167370, 56396203, 56627796, 56850245, 57075926, 57302418, 57527035, 57752142, 57979259, 58208232, 58433986, 58661287, 58888432, 59123934, 59345191, 59573814, 59808671, 60032629, 60257458, 60482235, 60708338, 60939233, 61166265, 61402754, 61626174, 61846344, 62071871, 62299148, 62532313, 62758082, 62983182, 63210979, 63438062, 63668673, 63896975, 64126078, 64350249, 64574413, 64807655, 65034362, 65252072, 65487205, 65714616, 65943564, 66172425, 66395755, 66621790, 66853627, 67078750, 67304313, 67530931, 67765568, 67995241, 68216548, 68442558, 68667099, 68892269, 69119870, 69350037, 69574900, 69801791, 70029832, 70259631, 70492325, 70720039, 70948913, 71168462, 71403560, 71632502, 71851027, 72085427, 72314143, 72539466, 72767439, 72996166, 73221721, 73447589, 73676148, 73907553, 74128039, 74358732, 74592548, 74817369, 75045984, 75272202, 75500468, 75726922, 75955180, 76182837, 76409469, 76643813, 76870009, 77100083, 77325074, 77549200, 77774570, 78003483, 78232419]"
339-6,2024-05-25T10:34:49.402Z,2024-05-25T10:39:43.397Z,"[11584144, 11808660, 12037167, 12257063, 12488044, 12719916, 12942139, 13169587, 13394743, 13623344, 13852064, 14079363, 14312065, 14531528, 14768162, 14993138, 15211744, 15442468, 15667789, 15894862, 16126551, 16351756, 16579153, 16808685, 17034091, 17266963, 17492143, 17719850, 17937555, 18169902, 18398623, 19435580, 19536349, 20352735, 20445404, 20671630, 21732717, 21806828, 22040279, 23115892, 23177288, 23400332, 23636780, 23855031, 24090519, 24315514, 25357172, 25456206, 25683950, 26727562, 26818729, 27865177, 27956493, 28184856, 29238086, 29328848, 30476254, 30697700, 30921940, 31143962, 31375084, 31596260, 31823870, 32056932, 32283824, 32516170, 32739420, 32967398, 33199901, 33426331, 33646799, 33885232, 34107174, 34332801, 34559414, 34787451, 35015650, 35244599, 35469638, 35697284, 35935336, 36163202, 36389634, 36618335, 36845062, 37073974, 37300609, 37525314, 37761655, 37989372, 38206536, 38431056, 38657670, 38887633, 39121440, 39341007, 39576015, 39803924, 40031517, 40256774, 40484038, 40712274, 40934885, 41168624, 41396167, 41615188, 41840990, 42075844, 42304841, 42533712, 42755423, 42983816, 43209467, 43437361, 43665099, 43898169, 44118442, 44346746, 44571382, 44805061, 45032077, 45263834, 45488029, 45709722, 45931777, 46154715, 46383095, 46611742, 46840749, 47065543, 47290882, 47526806, 47749195, 47979378, 48206691, 48434543, 48662067, 48888508, 49118162, 49344730, 49576631, 49798570, 50027261, 50261933, 50486976, 50702098, 50939204, 51166569, 51391971, 51619998, 51849535, 52074673, 52307033, 52527985, 52759006, 52983435, 53213741, 53439139, 53657530, 53894364, 54122242, 54348446, 54573989, 54801151, 55028721, 55251280, 55477235, 55715584, 55940938, 56167370, 56396203, 56627796, 56850245, 57075926, 57302418, 57527035, 57752142, 57979259, 58208232, 58433986, 58661287, 58888432, 59123934, 59345191, 59573814, 59808671, 60032629, 60257458, 60482235, 60708338, 60939233, 61166265, 61402754, 61626174, 61846344, 62071871, 62299148, 62532313, 62758082, 62983182, 63210979, 63438062, 63668673, 63896975, 64126078, 64350249, 64574413, 64807655, 65034362, 65252072, 65487205, 65714616, 65943564, 66172425, 66395755, 66621790, 66853627, 67078750, 67304313, 67530931, 67765568, 67995241, 68216548, 68442558, 68667099, 68892269, 69119870, 69350037, 69574900, 69801791, 70029832, 70259631, 70492325, 70720039, 70948913, 71168462, 71403560, 71632502, 71851027, 72085427, 72314143, 72539466, 72767439, 72996166, 73221721, 73447589, 73676148, 73907553, 74128039, 74365965, 74592548, 74817369, 75045984, 75272202, 75500468, 75726922, 75955180, 76182837, 76409469, 76643813, 76870009, 77100083, 77325074, 77549200, 77774570, 78003483, 78232419, 78455588]",2024-05-25T10:34:49.402Z,2024-05-25T10:39:43.397Z,"[11616904, 11841719, 12071195, 12288611, 12519194, 12750182, 12974094, 13203700, 13430094, 13658165, 13885716, 14111795, 14336978, 14563494, 14799348, 15024662, 15242656, 15475370, 15700859, 15928460, 16160480, 16385872, 16610750, 16838975, 17065354, 17298771, 17525018, 17744087, 17969341, 18201340, 18430554, 19467409, 19568495, 20384875, 20477252, 20702585, 21759936, 21833838, 22065550, 23140546, 23201329, 23426173, 23661582, 23879408, 24114846, 24339460, 25381741, 25481577, 25709635, 26754625, 26845868, 27893931, 27985911, 28214649, 29270550, 29360984, 30508363, 30729652, 30953282, 31175986, 31406729, 31628706, 31856084, 32089608, 32314404, 32546490, 32768520, 32997049, 33230015, 33456439, 33677635, 33915105, 34139087, 34363483, 34592022, 34819919, 35048621, 35276562, 35502711, 35729964, 35967838, 36195047, 36421330, 36649287, 36876530, 37104391, 37331145, 37556167, 37791286, 38011314, 38235756, 38461534, 38689336, 38920043, 39152554, 39370903, 39605566, 39832425, 40059475, 40284873, 40512004, 40740335, 40965320, 41198841, 41426437, 41644046, 41870159, 42105564, 42334277, 42562580, 42784906, 43012081, 43238199, 43466308, 43694278, 43927242, 44147825, 44375873, 44601026, 44834732, 45061454, 45292498, 45516491, 45738668, 45961697, 46184275, 46414580, 46641872, 46871389, 47096496, 47320939, 47557425, 47780035, 48009529, 48236926, 48465962, 48691788, 48919213, 49147943, 49374236, 49607060, 49829666, 50057746, 50291621, 50516029, 50731087, 50967276, 51194860, 51420262, 51648590, 51877954, 52102204, 52325564, 52555352, 52786222, 53012289, 53242780, 53468266, 53687495, 53915327, 54150230, 54376662, 54602807, 54831420, 55059254, 55281268, 55507704, 55736148, 55968914, 56196385, 56425645, 56656272, 56879278, 57105686, 57332862, 57557853, 57781988, 58010135, 58239472, 58465058, 58691519, 58919203, 59154911, 59376148, 59602918, 59837719, 60060997, 60285602, 60512405, 60738200, 60968873, 61196953, 61432767, 61655600, 61875355, 62100051, 62327915, 62560378, 62787493, 63012357, 63240287, 63466531, 63697141, 63925430, 64154326, 64378933, 64603875, 64836884, 65062451, 65280826, 65515871, 65743176, 65973715, 66200554, 66424271, 66650136, 66880628, 67104963, 67332487, 67558087, 67792450, 68023782, 68243185, 68461279, 68694427, 68920900, 69149703, 69379334, 69603776, 69831439, 70061009, 70289391, 70522748, 70749930, 70979006, 71199147, 71434316, 71662545, 71881710, 72115683, 72344088, 72570032, 72798057, 73026204, 73253418, 73478263, 73705378, 73938014, 74157970, 74388578, 74622206, 74847888, 75076553, 75303103, 75530649, 75758196, 75986859, 76214715, 76438703, 76673433, 76899195, 77129467, 77353042, 77578006, 77803444, 78033242, 78261657, 78487138]"
