Peer,BytesSent,BytesSent_in_bits/s,BytesReceived,BytesReceived_in_bits/s
LAN2_Leader-2,"[0, 0, 0, 0, 26035, 50611, 75739, 101152, 126694, 152610, 177527, 203013, 227866, 251462, 276050, 300218, 323442, 346791, 369956, 393677, 417355, 441221, 464986, 488993, 513278, 538210, 563202, 588286, 613364, 639093, 663395, 687893, 711976, 735101, 758596, 781668, 804662, 828013, 851638, 875669, 899722, 923940, 948134, 973345, 997967, 1022586, 1047315, 1071792, 1096600, 1121179, 1144798, 1169335, 1192687, 1215403, 1238894, 1261903, 1285642, 1309357, 1333295, 1358298, 1382437, 1407411, 1432378, 1456360, 1481122, 1505956, 1530562, 1554504, 1578405, 1602177, 1624614, 1647883, 1670309, 1692526, 1715354, 1737932, 1761029, 1784274, 1807730, 1832843, 1857576, 1882332, 1907048, 1931060, 1955073, 1978860, 2002383, 2026321, 2049656, 2072928, 2094984, 2118817, 2141446, 2164232, 2187998, 2211097, 2234707, 2259461, 2283767, 2308810, 2333169, 2357883, 2382264, 2405977, 2429248, 2452466, 2475514, 2498031, 2520978, 2544684, 2567008, 2591390, 2615326, 2637951, 2662240, 2686796, 2711272, 2735491, 2759403, 2784825, 2808859, 2833171, 2857281, 2880786, 2904192, 2925913, 2950417, 2972731, 2997063, 3020923, 3045162, 3068989, 3092069, 3116665, 3143004, 3167236, 3192636, 3217577, 3242477, 3267985, 3291848, 3315384, 3339174, 3361964, 3384515, 3407804, 3429385, 3453927, 3477727, 3501719, 3525452, 3550856, 3575831, 3600556, 3624537, 3650155, 3673872, 3699671, 3723018, 3748001, 3771188, 3793920, 3817089, 3840170, 3862817, 3886499, 3909067, 3934039, 3958499, 3983564, 4008144, 4033492, 4058216, 4082456, 4105804, 4131477, 4155359, 4178948, 4202010, 4226598, 4249585, 4273285, 4296842, 4320604, 4344253, 4367968, 4392366, 4416988, 4442192, 4467277, 4491869, 4515045]","[0, 0, 0, 0, 208215.66334254935, 196717.32638354303, 201072.32289254086, 203238.10019486785, 204538.96363034952, 207149.60940428535, 199270.24653501404, 203896.75029922815, 198871.319788253, 188806.35273087662, 196679.80366642668, 193281.0062028219, 185853.50356839964, 186789.19435709846, 185259.04650588558, 189790.0364922933, 189460.9047067512, 190851.87409559204, 190048.90674241094, 192213.4624674411, 194082.7847222123, 199634.2965838917, 199915.21871295955, 200673.14826096492, 200603.3863154645, 206024.59988215874, 194348.95122803998, 196024.56676005071, 192617.61714522442, 185016.2329611134, 187959.10374115114, 184563.81104668143, 183938.18590150858, 186857.1834474864, 188975.21963815665, 192238.19170450573, 192441.5267847137, 193727.32606203356, 193537.28042019508, 201746.10482373883, 193495.95483564687, 196855.55058754506, 197873.13802346145, 195683.3611174448, 198476.11402063115, 196757.7206657849, 188933.48640086394, 196076.00314931376, 186985.80861306362, 181768.34670133088, 187884.19041008447, 184088.94162642187, 189883.5240629588, 189744.8360431165, 191524.91369878626, 199995.0090242656, 192770.3790237228, 203686.48102614685, 199812.93717325563, 191803.0910605533, 198089.0574675923, 198655.09138593083, 196848, 191635.10023985393, 191131.7169041401, 190219.5831593075, 179613.07834152837, 185982.79187064685, 179420.53371629212, 177683.04632570574, 182706.02444172473, 180614.95698810398, 184758.82052516824, 185956.49749677128, 187521.60868745818, 201018.4006066914, 197917.84069829865, 198025.43221364066, 197690.6234377894, 192129.57672208245, 192132.4925485528, 190147.07585330532, 188253.47908058565, 191495.96450954588, 186689.70324404413, 186192.9132947839, 176463.18802902184, 190680.04796813315, 181024.01549461688, 182323.73181809293, 190037.56426184974, 184868.91294028301, 188900.53705332192, 198023.12407032843, 194419.4464237697, 200318.49634622363, 194775.0374817224, 197798.81955976714, 195120.99061638763, 189652.22697642134, 186192.54864487663, 185665.0737165364, 184429.77431561053, 180146.9953000061, 183547.16146578646, 189917.32436115746, 178325.5938998755, 191810.14358116148, 191206.5901924948, 181022.78805544216, 194258.18224912323, 196448.60888097654, 195836.3881483064, 193868.29405685593, 191306.53614851244, 203258.53148071546, 192444.79317166435, 196603.02480507203, 191064.6980530231, 188238.77183925535, 188621.31911159272, 174928.68489566958, 194660.24135926823, 178669.18681796986, 195053.93886061438, 190502.4292054213, 193180.23435700795, 190849.97220541962, 185851.58117870553, 196212.52583033813, 210644.3516031243, 190723.74639536103, 207625.5590998275, 198775.23011133945, 198228.4955609439, 206218.12008651506, 187546.20928196434, 188441.56380106736, 191051.3081628213, 182453.58949979636, 182792.71860150233, 184870.73864106555, 173025.54291743765, 196816.0386608841, 187754.92450380203, 193541.7633934807, 189412.09027020124, 205427.17854268145, 195662.73745082878, 201516.59219402334, 191738.2864724317, 203666.44260195317, 190601.27798991345, 203590.6232660876, 188990.00568951608, 199922.0084524838, 185957.1349488743, 181282.06816692624, 184434.07385736168, 186243.74543949583, 179906.96289534055, 189245.1562902107, 181713.31015037504, 199352.9878407044, 195450.360142045, 198463.30453988773, 199025.7154598655, 202126.5339929424, 199148.14137985502, 192211.44021852795, 187373.2851362783, 206399.48667119665, 189690.7686686988, 189555.5832301555, 185859.08943032412, 195789.8202363233, 183755.28011900373, 190081.05965811512, 186666.0671400297, 189617.01890675613, 190034.04260871003, 189948.33812733603, 194972.028609643, 197603.82013586294, 201430.96783081535, 201762.86951917317, 196189.75824052503, 184515.18543804524]","[0, 0, 0, 0, 27331, 53424, 79605, 104965, 130216, 155593, 179907, 205108, 229349, 253252, 277335, 301131, 324356, 347547, 371133, 395222, 418432, 442814, 467107, 490884, 515874, 541087, 565821, 591234, 616753, 642259, 667118, 691878, 715529, 739013, 762629, 785046, 808319, 831343, 854281, 878854, 901969, 925722, 950251, 975157, 1000219, 1025685, 1053034, 1077473, 1102336, 1126815, 1150231, 1174652, 1197671, 1219930, 1243152, 1265918, 1288869, 1312942, 1336559, 1361351, 1385284, 1410095, 1434646, 1458845, 1483556, 1507966, 1532016, 1555931, 1579393, 1603107, 1625861, 1649002, 1672036, 1694570, 1718078, 1741536, 1764987, 1788648, 1812989, 1838668, 1862585, 1887355, 1911700, 1935496, 1959713, 1983317, 2006798, 2030342, 2053639, 2077215, 2100062, 2123154, 2146405, 2169709, 2193357, 2216842, 2241006, 2265797, 2290522, 2315653, 2340058, 2365121, 2389741, 2413312, 2437174, 2460649, 2483382, 2506124, 2528762, 2551959, 2574617, 2597847, 2621134, 2644333, 2667942, 2692247, 2717318, 2742015, 2766577, 2792832, 2817170, 2841350, 2865553, 2888925, 2912274, 2935160, 2958297, 2981347, 3004514, 3028377, 3051942, 3076280, 3100394, 3125228, 3149828, 3174636, 3199511, 3224253, 3249008, 3273886, 3297420, 3321265, 3344674, 3367324, 3390802, 3414263, 3437749, 3461413, 3485784, 3510515, 3534704, 3560016, 3584818, 3609250, 3633724, 3658074, 3682518, 3706666, 3730386, 3754627, 3777871, 3801410, 3824400, 3847445, 3870812, 3894469, 3918668, 3942517, 3966893, 3992425, 4017221, 4041847, 4066991, 4091928, 4116410, 4140973, 4164940, 4188560, 4211914, 4236447, 4258647, 4282389, 4305367, 4328273, 4352048, 4375336, 4399259, 4424567, 4449742, 4475046, 4499927, 4524720]","[0, 0, 0, 0, 218580.4607188483, 208860.0747609777, 209498.34788481423, 202814.2376319934, 202208.65126575663, 202841.31956523188, 194447.83779156124, 201616.65244804398, 193974.1545482252, 191262.8517259766, 192640.30062219594, 190305.9758193624, 185861.50621667595, 185525.2133425616, 188625.93873895175, 192734.37835938, 185716.1752784735, 194978.2281990583, 194271.3272246324, 190371.95389212927, 199717.05951031853, 201884.30610338767, 197851.4332444919, 203305.1633214759, 204131.02382105187, 204238.9305683991, 198803.41447526318, 198121.00061143178, 189162.4491592286, 187888.48496686644, 188927.09912538945, 179324.15708362765, 186170.01828676215, 184240.49469808262, 183479.9402353455, 196573.9704862394, 184936.84328893098, 190007.64621155683, 196217.07660688457, 199305.40187775335, 196953.76574165307, 203628.23231091525, 218837.49653458074, 195379.5670363702, 198916.14087773912, 195957.20916952475, 187309.64552109022, 195149.04319637248, 184319.3871387509, 178111.53500726027, 185732.6920822009, 182144.7627044687, 183580.46930237027, 192609.21096630587, 188956.63325358156, 198307.25367874224, 191125.29438563145, 202357.06257466684, 196483.6552465494, 193538.6123165011, 197681.07176648386, 195263.38007290696, 192400, 191418.9884820026, 187621.11802874086, 189755.47682314564, 182150.73247685234, 184959.72266443074, 184284.8735227447, 180218.29076398493, 188148.4677841276, 187654.6045277236, 187590.55722109883, 189284.43481484643, 194596.83991564714, 205548.97898216973, 191388.06436668453, 198137.41945111807, 194723.18447940538, 190401.27468260346, 193764.73460410206, 188684.22156814305, 187917.3550266221, 188344.09676717973, 186385.68744274677, 188625.1342316013, 182791.73272121247, 184751.54901523647, 185999.7960256899, 186468.54411870614, 189094.01328217715, 187958.19820782487, 193333.01894775394, 198319.110803406, 197770.95420174877, 201022.40672750652, 195142.8543758543, 200592.0455865681, 197033.70612261447, 188516.5370076004, 190921.1720924776, 187720.2000816475, 181909.14871211274, 181947.10516999327, 181075.54980008167, 185839.54160152577, 180993.60807128556, 182747.50370725867, 186022.22032973875, 185615.36619218576, 188819.68894230106, 194440.60265727868, 200597.07825078402, 197694.58930270327, 196506.82255268327, 209918.68240209992, 194878.97878888104, 195535.58488757163, 191801.69585140268, 187173.64711453207, 188161.97470463038, 184310.93791824934, 183800.767398359, 184562.3714329213, 185714.88581225765, 190526.3817321445, 187808.58214542235, 194942.99003380627, 194177.86085542917, 198111.15085666845, 196736.81800512006, 195257.29203433957, 203334.085929457, 197189.23633433945, 197074.15291611108, 201124.9173401412, 184960.50325783636, 190915.57991317348, 187991.59616576225, 181332.7688534615, 190306.74681061023, 186236.0942615844, 188298.86942027434, 189774.86508317012, 192259.46491941845, 199503.224011511, 193051.4073882736, 204683.22875422583, 194307.39596618438, 199128.54926124887, 195680.03098812784, 193585.67715503005, 196443.80145825545, 190561.8966095385, 192009.37743415948, 193984.28559006765, 186414.26854494476, 187717.69323338364, 183009.16560838817, 185953.25651632, 185626.61729921945, 189045.37886823385, 194845.8167462303, 190388.01085267335, 194779.14876625058, 202160.98509923852, 200774.6802499115, 196369.26093223132, 202531.1788891391, 197738.31207629666, 196473.90640339066, 197475.58100356808, 190365.90958390015, 189804.69184349792, 188212.3482159305, 195351.86513167887, 177464.09790933496, 190417.91216890165, 182078.06132969403, 182786.27367553895, 191046.5289450751, 186528.22678934858, 191176.1554401381, 203109.3119973365, 201199.1991406434, 203524.32331326124, 198495.3389225156, 197388.8933623341]"
LAN2_Leader-3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15796, 42466, 68431, 92962, 117135, 141120, 163667, 187074, 209777, 232138, 255036, 277706, 303992, 327567, 351253, 376855, 400347, 426625, 451381, 475608, 499538, 523263, 546857, 570189, 593629, 616912, 638846, 662498, 685188, 708147, 731988, 755359, 779532, 804098, 828577, 853765, 878076, 902802, 927059, 950881, 974235, 997503, 1020681, 1043167, 1066180, 1089896, 1112366, 1136450, 1160411, 1183055, 1207314, 1231565, 1256217, 1280665, 1304999, 1325417, 1341068, 1360462, 1381349, 1402531, 1421770, 1441730, 1465208, 1489195, 1507507, 1527963, 1552236, 1572181, 1591767, 1615551, 1638011, 1658897, 1683444, 1705162, 1729018, 1750920, 1774134, 1794964, 1818382, 1838679, 1861162, 1880408, 1904203, 1927449, 1946748, 1971740, 1994644, 2017365, 2041598, 2066631, 2087319, 2112264, 2136008, 2158435, 2181216, 2205003, 2228375, 2252974, 2276303, 2296398, 2318733, 2342286, 2366353, 2390036, 2414492, 2436190, 2459881, 2481811, 2504777, 2530843, 2552479, 2574792, 2596060, 2616830, 2639571, 2659085, 2680531, 2711719, 2737476, 2763409, 2791934, 2823849, 2851884, 2883590, 2911124, 2941951, 2972271, 3000932]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126375.83389015471, 213328.36418091762, 207718.16761679607, 196296.2514942385, 193358.92140454196, 191890.52256111839, 180438.93825308426, 187179.64302415506, 181601.31230553435, 178901.60645591246, 183222.31051977296, 181339.5067486289, 210274.96530080363, 188598.2913172078, 189444.4137794263, 204854.73105090222, 187955.89660694444, 210229.51348840803, 197996.49820624758, 193849.692461444, 191446.20762926043, 189748.7435039544, 188788.41362825042, 186678.4318336592, 187454.16786449804, 186292.51481306792, 175487.10401834265, 189228.4518997012, 181536.01417666563, 183668.84711528008, 190659.76929623756, 187015.30778731403, 193402.16760397816, 196529.96796861998, 195822.1955935777, 201468.1668194658, 194442.8928893134, 197890.7079799387, 194078.11793431581, 190572.18338026907, 186813.91679710874, 186111.60810043494, 185400.79342828994, 179928.2814522466, 184078.9839256197, 189891.30192710186, 179604.4739700653, 189334.82066766755, 191518.5042534378, 181194.5521454485, 194037.6272037, 194040.0600895028, 197174.77211686457, 195683.79430103538, 194668.6582910068, 163292.92112910238, 125264.6248246831, 157304.71311475607, 166788.45388451984, 168634.91923887815, 154844.28404641728, 160297.64005683866, 187585.0409560613, 192065.79693771483, 146469.46000919177, 162780.05785421096, 193318.32484217032, 160201.2934582625, 157523.82226383247, 190378.62064072728, 179761.55971721216, 164006.70396631956, 200226.13539113177, 172938.29131731234, 189954.58974839054, 176947.58975156618, 183717.2312780302, 166444.5985214425, 187835.76801886922, 161897.59909173418, 182186.1622515029, 153382.19853251163, 190804.9518284402, 185794.26792935873, 153763.13456479917, 199768.96638366996, 182825.793494802, 183442.61256804896, 191083.19838283307, 202622.10103845358, 165457.17514731886, 198552.5396089654, 190710.83223513895, 178267.08095825586, 184066.767334319, 189275.63728080835, 188033.87164430396, 196447.23526697155, 185855.84002355277, 161635.24885463392, 177631.44061133952, 188161.1587207449, 193464.04349784294, 189865.5678052904, 195031.93162201403, 171267.08033812864, 192139.1903160102, 174737.55926447906, 184863.98929886555, 207339.0751873657, 173051.1560606093, 179669.32428211466, 169421.24496456364, 166003.46778033467, 183227.62488180006, 155707.79789555387, 171581.0087758996, 249729.53813229685, 204033.37510124806, 207096.84203591844, 230846.67388288502, 254346.8330628888, 223290.17327506465, 255901.2195903519, 218766.20065571534, 248275.01274255168, 241652.11301876314, 228309.237279054]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12958, 39255, 66571, 91388, 114915, 138828, 162026, 184626, 207573, 230326, 252689, 274890, 298077, 322357, 345503, 371076, 396779, 422148, 446447, 470492, 495092, 518669, 542246, 566053, 588032, 611917, 634684, 657684, 680588, 702688, 727206, 750639, 773592, 799531, 823923, 848753, 873440, 897083, 923875, 947407, 969571, 993344, 1016599, 1039542, 1060865, 1084393, 1108928, 1131093, 1156098, 1179679, 1203742, 1228532, 1252504, 1277073, 1299919, 1325109, 1350778, 1374885, 1398409, 1421679, 1444936, 1466412, 1491471, 1513568, 1536837, 1561975, 1585842, 1608867, 1633113, 1658920, 1682728, 1708542, 1733183, 1758266, 1783137, 1806593, 1831608, 1855649, 1878178, 1900948, 1924046, 1945523, 1969746, 1993061, 2016170, 2040520, 2064126, 2089339, 2114420, 2138884, 2162514, 2188357, 2211027, 2236237, 2260205, 2282535, 2306694, 2330021, 2352452, 2375092, 2397915, 2420649, 2444487, 2468261, 2491993, 2517483, 2541489, 2566776, 2590189, 2615577, 2640049, 2663897, 2687053, 2710399, 2733989, 2757807, 2780833, 2804967, 2828205, 2851696, 2875906, 2899164, 2923605, 2947455, 2973515, 2998560, 3021798, 3048263]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103670.42640849738, 210344.8066316307, 218526.072275001, 198584.81404478077, 188191.591605703, 191314.49097369288, 185648.75547057472, 180726.27557337141, 183553.06847003024, 182037.84498418568, 178941.4154141708, 177587.93071576135, 185484.50203263081, 194238.24021980088, 185125.40747017652, 204622.6871793111, 205645.76921881037, 202957.32276761637, 194341.44893818104, 192393.43935425027, 196806.38143250343, 188565.06324943027, 188652.3873914241, 190478.88850779724, 175770.2711388141, 191109.25208564734, 182151.6776322425, 184012.10864591273, 183248.1652138541, 176796.96507895333, 196073.83178579557, 187511.43328826877, 183641.25069350557, 207514.07795888765, 195126.2304390926, 198604.67612066603, 197450.19525146967, 189223.08536640342, 214360.4293892975, 188252.22984235125, 177294.83822433493, 190150.90507871925, 186016.71633337138, 183585.10012269384, 170560.82102489847, 188386.00741022316, 196110.1810794638, 174248.72529890598, 199863.1191877306, 188692.31293684072, 192469.904917871, 198352.7726534483, 191735.90934550858, 196652.28821098406, 182764.86263320217, 201456.98321295372, 205444.8696329174, 195531.85103936397, 187845.62594817087, 185257.98180949368, 187182.98841247085, 172472.5509950234, 200216.94954075903, 176932.4181820438, 186118.2757183204, 200037.40195244207, 190084.80447443988, 184940.32498754043, 195002.68531649557, 206571.68949189578, 190550.4547527777, 202703.6797944352, 200992.87905539895, 199733.45432876624, 198036.5778685539, 189502.45024256854, 197970.47214697706, 192102.47686289003, 180705.0993977754, 181623.31040640426, 187169.68267958963, 171162.29231439013, 194236.95516454324, 186345.7522486879, 184118.98423016447, 194637.25717999216, 188429.34340020502, 203562.28117944713, 197769.88811289714, 198016.5014103275, 188986.51627664082, 205700.2718426335, 182084.5083714033, 200388.50987459894, 193657.5338865264, 177682.13648129025, 194365.49311375746, 186289.06285103643, 178701.7166431614, 182106.09773918448, 181512.53051589892, 181618.29840603805, 191623.2130677517, 190595.11079689962, 189258.16982554944, 201198.16931601524, 194693.909194468, 201486.03105886377, 188462.09968885913, 201946.00018632854, 195734.3266368659, 192029.49157351637, 184461.08465297325, 186592.05386613833, 190068.14436311787, 190050.64724179063, 184221.96717680985, 193246.52665399679, 184079.18509930515, 187595.41573538582, 195926.30936738462, 185354.8063097812, 194665.06598950794, 192494.9248479749, 207054.81183583723, 201707.8435831319, 185208.17290006657, 210816.229879982]"
LAN2_Leader-4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15002, 41507, 64799, 89702, 111813, 135238, 159172, 182515, 206945, 232499, 255233, 280084, 304945, 330138, 356265, 381636, 405171, 430430, 457278, 479676, 504259, 528087, 550630, 574892, 596879, 620171, 644042, 667917, 693433, 717450, 742943, 766721, 793133, 817212, 841579, 866804, 892594, 914742, 939735, 962960, 986244, 1009341, 1033510, 1055267, 1078654, 1103696, 1126058, 1150551, 1177087, 1200661, 1227352, 1251086, 1275569, 1301676, 1324467, 1348625, 1373743, 1397098, 1420572, 1443436, 1467273, 1491990, 1514502, 1539462, 1563220, 1587800, 1611192, 1637384, 1661224, 1686161, 1711885]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 211812.54778975368, 186558.17227709867, 199220.58015208936, 176877.07776757673, 187273.7757291826, 191562.2021764036, 186799.09149460288, 195048.3968758365, 204671.6446339601, 181448.30522219033, 199432.2146764451, 198859.60031781427, 201570.76842642153, 208988.24653880068, 203037.17479581432, 188045.9235556402, 202285.79779377455, 214895.3337421946, 179081.4007115579, 196623.63741497652, 190655.09170978772, 179631.94842374488, 195023.33990935137, 175492.36334676592, 186578.39198157968, 190801.41341592572, 191128.822608355, 203789.4929681994, 192017.88597063918, 204567.55905593158, 189909.31852632572, 211057.4830804345, 193110.1824003243, 194967.33010399106, 201404.6627549026, 206661.65189128258, 177216.23800411157, 199796.902213565, 185965.7342707405, 186028.4596481495, 184896.96339883003, 193520.1759455971, 174000.32724972506, 187084.35825502765, 200368.4368878953, 178869.3890297998, 195920.69114473314, 211874.83864943654, 188955.51252330554, 212400.44503281103, 190955.2304473001, 195816.42668657456, 208589.63730968698, 182554.37016277708, 193187.3110254151, 200182.32185875325, 187741.89251716813, 187713.36659977058, 182862.25495698312, 190733.97122620913, 196212.16787993407, 181376.70173227863, 199843.71321645062, 190061.09989776768, 196478.76230720012, 187147.15483968495, 209328.78252005024, 190935.7772980673, 199541.71904945528, 205734.75749635737]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15153, 39874, 64147, 88643, 111229, 134426, 158152, 181044, 205417, 229520, 254250, 277887, 302647, 327849, 354415, 377992, 404696, 428133, 454610, 476636, 501230, 525943, 549171, 572486, 594445, 617804, 643545, 666155, 692452, 715332, 742427, 767833, 792296, 816121, 840197, 864756, 891048, 913760, 938448, 961974, 985605, 1008873, 1033931, 1055735, 1079443, 1103541, 1127501, 1152047, 1179445, 1202507, 1229496, 1252947, 1277520, 1302833, 1327495, 1351301, 1377077, 1400887, 1423496, 1446458, 1470066, 1494534, 1517779, 1539980, 1562926, 1587337, 1612131, 1638923, 1663451, 1687878, 1712892]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 197555.8571556499, 194415.52961025314, 195964.63604407426, 180676.8431305001, 185451.00429412376, 189897.41826846128, 183190.0270956796, 194593.31056302757, 193050.03720013855, 197379.10566309348, 189689.7210698617, 198051.71569402202, 201642.77798923015, 212499.780210119, 188680.28340076917, 213366.40504057007, 187694.3759805493, 211925.79527309618, 176107.1047447439, 196711.61935418512, 197736.2464925291, 185090.3117591601, 187411.14376335533, 175268.8773698837, 187115.08922796324, 205748.3634007517, 181001.99703350395, 210027.13186176278, 182927.47766199877, 217422.74399327135, 202911.77334005514, 195483.08377240153, 191073.138240281, 192638.95594794964, 196087.1005985194, 210684.3021142149, 181729.05894660385, 197358.69730918627, 188375.88221543343, 188800.83018147314, 186265.85895847846, 200638.36190346195, 174376.2069840973, 189652.1984653951, 192815.21412524962, 191651.487396208, 196344.64070708444, 218757.41744487724, 184851.61745195862, 214771.85609345985, 188678.31419986664, 196536.25180611838, 202245.7382778606, 197540.95375167427, 190372.4284407249, 205426.36866913064, 191399.4631057064, 180796.26418395728, 183646.04173907655, 188901.60643991883, 194235.51902278702, 187282.40190861837, 177753.6168717316, 183565.199017349, 195127.87089833448, 198363.82340523036, 214124.03563214667, 196446.00442814574, 195460.78402458373, 200056.33742862244]"
