Peer,RTT
L1Client_To_L1Leader_Video,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.060043, 0.060043, 0.059708, 0.063568, 0.059189, 0.06639099999999999, 0.11737099999999999, 0.061111, 0.064728, 0.064728, 0.068359, 0.073166, 0.072632, 0.081299, 0.059768999999999996, 0.063538, 0.06884799999999999, 0.06884799999999999, 0.068481, 0.064133, 0.061675999999999995, 0.05806, 0.076706, 0.07788099999999999, 0.071625, 0.066772, 0.066772, 0.063599, 0.06300399999999999, 0.061156999999999996, 0.058517, 0.068863, 0.074585, 0.074585, 0.083038, 0.06636, 0.079788, 0.08598299999999999, 0.07962, 0.07962, 0.063858, 0.113678, 0.066422, 0.066422, 0.076767, 0.08889799999999999, 0.06813, 0.08491499999999999, 0.08247399999999999, 0.078857, 0.078857, 0.069885, 0.085007, 0.085007, 0.074783, 0.06684899999999999, 0.079987, 0.091293, 0.11752299999999999, 0.102188, 0.113815, 0.244141, 0.084412, 0.070267, 0.08981299999999999, 0.060058999999999994, 0.090607, 0.108536, 0.108536, 0.081818, 0.061432, 0.077301, 0.081818, 0.067841, 0.099365, 0.072235, 0.07128899999999999, 0.07128899999999999, 0.08215299999999999, 0.06762699999999999, 0.069473, 0.077942, 0.076309, 0.07940699999999999, 0.086182, 0.07045, 0.06591799999999999, 0.074585, 0.074585, 0.076843, 0.07221999999999999, 0.06730699999999999, 0.066574, 0.057419, 0.073715, 0.07344099999999999, 0.06608599999999999, 0.09314, 0.07940699999999999, 0.063889, 0.066055, 0.061554, 0.061141999999999995, 0.08662399999999999, 0.08662399999999999, 0.07282999999999999, 0.06547499999999999, 0.0867, 0.11460899999999999, 0.070313, 0.070313, 0.09028599999999999, 0.072006, 0.12184099999999999, 0.064362, 0.065811, 0.065811, 0.080673, 0.06776399999999999, 0.06776399999999999, 0.086792, 0.09111, 0.09703099999999999, 0.116974, 0.070724, 0.070724, 0.072891, 0.06439199999999999, 0.084579, 0.062485]"
L1Client_To_L2Leader_Video,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001266, 0.001068, 0.001068, 0.001, 0.001, 0.001, 0.001, 0.001419, 0.0015869999999999999, 0.001, 0.001, 0.001236, 0.001129, 0.001, 0.001282, 0.001, 0.001022, 0.001022, 0.001, 0.001, 0.0010069999999999999, 0.0010069999999999999, 0.001, 0.001, 0.001, 0.0015409999999999998, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0012209999999999999, 0.001, 0.0014039999999999999, 0.001709, 0.001709, 0.0013729999999999999, 0.0017549999999999998, 0.0017549999999999998, 0.001434, 0.001053, 0.001, 0.001, 0.001, 0.001, 0.001495, 0.001, 0.001, 0.001, 0.001251, 0.001312, 0.001205, 0.001, 0.001, 0.001, 0.001144, 0.001083, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001297, 0.001, 0.001, 0.001, 0.001648, 0.001648, 0.001495, 0.001, 0.001, 0.001328, 0.001312, 0.001083, 0.001083, 0.001099, 0.001251, 0.001, 0.001175, 0.001, 0.001266, 0.001343, 0.001266, 0.00209, 0.00145, 0.001, 0.001, 0.001083, 0.001, 0.001, 0.001, 0.001343, 0.001343, 0.001, 0.001495, 0.001175, 0.001, 0.001663, 0.001, 0.001, 0.001, 0.001, 0.001068, 0.001511, 0.00148, 0.001266, 0.001, 0.001099, 0.001, 0.001, 0.001, 0.001205, 0.0010069999999999999, 0.001, 0.001, 0.001, 0.001, 0.001343, 0.001, 0.001, 0.001175, 0.001083, 0.001, 0.001, 0.001, 0.001022, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002526, 0.002358, 0.002114, 0.002434, 0.0023959999999999997, 0.0027159999999999997, 0.002639, 0.002822, 0.0028529999999999996, 0.002892, 0.002914, 0.002205, 0.002, 0.002068, 0.002511, 0.002, 0.002541, 0.002732, 0.002144, 0.002068, 0.002526, 0.0023799999999999997, 0.002548, 0.002221, 0.002, 0.002, 0.002, 0.002, 0.002312, 0.002548, 0.002221, 0.002221, 0.002129, 0.002, 0.002343, 0.00383, 0.0028079999999999997, 0.002511, 0.002328, 0.00293, 0.002319, 0.002343, 0.002, 0.002, 0.002099, 0.0026249999999999997, 0.002144, 0.002, 0.002389, 0.002389, 0.002617, 0.00238, 0.002, 0.002518, 0.00216, 0.0020829999999999998, 0.002266, 0.0036469999999999996, 0.002976, 0.002502, 0.002502, 0.002358, 0.0026550000000000002, 0.0025789999999999997, 0.002266, 0.002282, 0.002266, 0.002, 0.002, 0.002, 0.002, 0.002312, 0.002312, 0.002701, 0.002, 0.002, 0.00219, 0.003647, 0.002236, 0.002129, 0.002, 0.002297, 0.002251, 0.0039299999999999995, 0.003121, 0.00219, 0.0023949999999999996, 0.002869, 0.002266, 0.002884, 0.002129, 0.0025719999999999996, 0.0026099999999999995, 0.002038, 0.002838, 0.002175, 0.002175, 0.002053, 0.002, 0.002, 0.002236, 0.002144, 0.002, 0.002, 0.002274, 0.0022890000000000002, 0.002426, 0.002, 0.004647, 0.004653999999999999, 0.002, 0.002633, 0.002633, 0.002434, 0.002099, 0.002373, 0.002, 0.002, 0.002022, 0.002, 0.00219, 0.002373, 0.002594, 0.002221, 0.002, 0.002297, 0.002, 0.002, 0.002, 0.002, 0.0025329999999999997, 0.0032189999999999996, 0.002678, 0.00219, 0.00219, 0.002358, 0.0021209999999999996, 0.002, 0.002, 0.002648, 0.002328, 0.003022, 0.002, 0.002, 0.0020829999999999998, 0.002556, 0.002205, 0.0029230000000000003, 0.002068, 0.002, 0.00264, 0.002472, 0.002, 0.0023499999999999997, 0.0023499999999999997, 0.002502, 0.002091, 0.0028989999999999997, 0.0028989999999999997, 0.002, 0.00219]"
L1Client_To_L2Leader_Uni_Video,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.093536, 0.093536, 0.082718, 0.074738, 0.062912, 0.068481, 0.059967, 0.059967, 0.070862, 0.070862, 0.091125, 0.059310999999999996, 0.059310999999999996, 0.053786999999999995, 0.059463999999999996, 0.048859, 0.08691399999999999, 0.052794999999999995, 0.058166999999999996, 0.058166999999999996, 0.078766, 0.074448, 0.055709999999999996, 0.088638, 0.053741, 0.053741, 0.072083, 0.059234999999999996, 0.077698, 0.075241, 0.061813, 0.061813, 0.054596, 0.068909, 0.068909, 0.06366, 0.09149199999999999, 0.17118799999999998, 0.055389, 0.07820099999999999, 0.133484, 0.060592999999999994, 0.070099, 0.073685, 0.073685, 0.06871, 0.080658, 0.0728, 0.0728, 0.079391, 0.062805, 0.060959, 0.077652, 0.07633999999999999, 0.06394999999999999, 0.06394999999999999, 0.066177, 0.061096, 0.074478, 0.073166, 0.0905, 0.075546, 0.07633999999999999, 0.07633999999999999, 0.06369, 0.062683, 0.057555999999999996, 0.06898499999999999, 0.070633, 0.073456, 0.07926899999999999, 0.068329, 0.07479899999999999, 0.097565, 0.097565, 0.069702, 0.074707, 0.059753, 0.07402, 0.060851999999999996, 0.071411, 0.07296799999999999, 0.100449, 0.059066999999999995, 0.056641, 0.074127, 0.077133, 0.067566, 0.083313, 0.069519, 0.06347699999999999, 0.064758, 0.078827, 0.060013, 0.065353, 0.06041, 0.06041, 0.065826, 0.060393999999999996, 0.064484, 0.064484, 0.065689, 0.065689, 0.062958, 0.06636, 0.06516999999999999, 0.064041, 0.079391, 0.07814, 0.083008, 0.072418, 0.063828, 0.063828, 0.058608999999999994, 0.055251999999999996, 0.066177, 0.060378999999999995, 0.078415, 0.065582, 0.06686399999999999, 0.06601, 0.062592, 0.062592, 0.067673, 0.068481, 0.062148999999999996, 0.07878099999999999, 0.06977799999999999, 0.070862, 0.089478, 0.060089, 0.06454499999999999, 0.065735, 0.076996, 0.069473, 0.064026, 0.064026, 0.077621, 0.066818, 0.07372999999999999, 0.06669599999999999, 0.063278, 0.063278, 0.076721, 0.14379899999999998, 0.090698, 0.06976299999999999, 0.060897999999999994, 0.060242, 0.060242, 0.056107, 0.063553, 0.096024, 0.096024, 0.078262, 0.063416, 0.061859, 0.061859, 0.057860999999999996, 0.080368, 0.071655, 0.071655, 0.12559499999999998, 0.08750899999999999]"
L1Client_To_L2Client_Video,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0.001, 0.001, 0.00148, 0.00148, 0.001, 0.001, 0.001419, 0.001, 0.0013729999999999999, 0.001, 0.001312, 0.001, 0.001, 0.001, 0.001022, 0.001, 0.001, 0.001, 0.001, 0.001129, 0.0017699999999999999, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001511, 0.0014039999999999999, 0.001511, 0.001282, 0.001114, 0.001648, 0.001, 0.001, 0.001, 0.001, 0.0013729999999999999, 0.001, 0.001, 0.001617, 0.00116, 0.00116, 0.001, 0.001, 0.001312, 0.0015409999999999998, 0.0017699999999999999, 0.001, 0.001, 0.0015559999999999999, 0.001984, 0.0018009999999999999, 0.001144, 0.001419, 0.001, 0.0011899999999999999, 0.001, 0.001, 0.001, 0.00267, 0.0029749999999999998, 0.001, 0.001, 0.001, 0.001, 0.0012209999999999999, 0.001, 0.001144, 0.001, 0.001, 0.0011899999999999999, 0.0011899999999999999, 0.0014039999999999999, 0.001, 0.0013579999999999998, 0.0013579999999999998, 0.001, 0.0010379999999999999, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.00148, 0.001068, 0.001236, 0.09787, 0.094994, 0.075943, 0.069794, 0.093002, 0.094192, 0.061623, 0.061623, 0.0867, 0.080536, 0.08052, 0.073479, 0.07647699999999999, 0.073876, 0.073876, 0.087243, 0.08474799999999999, 0.085037, 0.091995, 0.084618, 0.070244, 0.06956499999999999, 0.056160999999999996, 0.067437, 0.057014999999999996, 0.057067999999999994, 0.06469, 0.068329, 0.06336299999999999, 0.06991599999999999, 0.069924, 0.076592, 0.076592, 0.073433, 0.074624, 0.101098, 0.090783, 0.07550899999999999, 0.061333, 0.06523999999999999, 0.07762999999999999, 0.06691799999999999, 0.076706, 0.06249999999999999, 0.062179, 0.079674, 0.08352, 0.092919, 0.093445, 0.066414, 0.057768999999999994, 0.067818, 0.071335, 0.075912, 0.07115199999999999, 0.081421, 0.07711799999999999, 0.07074, 0.072716, 0.072716, 0.062523, 0.06437, 0.064606, 0.095025, 0.09518499999999999, 0.06471299999999999, 0.074242, 0.12482499999999999, 0.089409, 0.089767, 0.07664499999999999, 0.06923699999999999, 0.073281]"
